,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
inclusionbc,0.031834528,-0.01469317,0.03702182,-0.008934952,-0.003048456,-0.048916303,0.0039546727,-0.008214252,-0.016224949,0.0058856667,0.034517605,-0.023917977,-0.012851745,-0.0045648115,-0.0077252765,0.024088519,0.025175022,-0.008344446,0.011276863,0.005079039,0.03295606,0.033259466,0.02744166,-0.036923934,-0.004703102,0.032042954,-0.042238105,-0.005235558,0.014660743,-0.01146223,-0.02449833,0.02851509,-0.030110955,-0.011852444,-0.007689254,-0.004125091,-0.0075227614,-0.015525895,-0.0064914236,0.013254705,-0.020494513,-0.0046447213,0.013254405,-0.031921193,-0.0012118703,-0.019152252,-0.012779615,-0.03183723,0.004644007,0.050030537,0.013422564,-0.011979745,-0.00035519834,0.032542117,0.008608472,0.009777892,-0.0019109785,-0.007876989,-0.029183265,0.023114212,0.011633443,-0.017020844,-0.0039061822,-0.015995009
lucasgates92,0.023161955,-0.041508563,0.020274036,-0.01358305,-0.013687277,-0.05479067,0.015835205,0.0031846496,-0.04928824,-8.249971e-05,0.047671277,-0.02772996,-0.032402012,-0.030814677,0.0032588558,0.0051050284,0.011396696,0.0018949255,0.011239021,0.0043842313,0.018432133,0.011626691,0.023574864,-0.0044328705,0.006265999,0.042648457,-0.029566582,0.0010286662,0.022569565,-0.011435706,-0.03142879,0.010152991,-0.025536831,-0.042013388,-0.014095484,0.00048246447,-0.0016505072,-0.007439952,0.021125527,-0.0019607139,0.005282144,0.016824566,-0.024322907,-0.017008446,0.032067694,-0.03170138,-0.014934598,-0.03206243,0.02422194,0.036440965,0.016472567,-0.018857598,0.028521864,0.052662544,0.034455273,0.030984735,-0.007911406,-0.039718248,-0.01770116,0.041020636,0.023957413,-0.02600515,0.0013571936,0.019988228
ctvvancouver,0.019652847,-0.013219168,0.006775445,-0.014547309,-0.016440393,-0.031859823,0.029710462,-0.008660949,-0.031163309,0.0020014439,0.026498077,-0.042886663,-0.00022819372,-0.030105213,0.0063894205,0.033738013,0.015043334,0.0038820845,0.015580878,0.02063271,0.0057815155,0.031309173,-0.0017961325,-0.025734615,0.005568922,0.00443253,-0.037112445,-0.0024030153,0.009267804,0.010845113,-0.0073181223,0.019596588,-0.015681596,-0.016002512,-0.023564212,-0.012001306,-0.011520654,-0.003792293,0.019013649,0.018233258,-0.016511139,0.0027197942,0.010288527,-0.024341675,0.001446307,-0.007655959,-0.007948661,0.003489952,0.02080332,0.044770576,0.0125655625,-0.01563947,0.010101424,0.016485073,0.014303302,0.0018201665,0.012399405,-0.015610343,-0.028007483,0.030357992,0.008483571,-0.02017003,-0.0077794427,-0.0015105723
bcgovnews,0.04287765,-0.01234058,0.03663398,-0.014626919,0.006172274,-0.037068315,0.022052744,0.0065881056,-0.036263444,0.015980523,0.017180435,-0.027225407,-0.028389521,-0.011801589,0.014770135,0.015037532,0.020117652,-0.009941047,0.012428309,0.03691448,0.021236345,0.020546125,-0.0016721438,0.0019107475,-0.009338078,0.02799913,-0.031938918,0.018642722,0.019309416,0.0051019355,-0.0073185894,0.025603125,-0.011089601,-0.016597161,-0.0115782535,-0.01426311,0.009157422,-0.010289664,0.0067851106,0.028840672,-0.025322488,-0.0076060374,-0.0094972635,-0.004795741,0.024233162,-0.021067163,0.011219788,-0.0145200435,-0.00947045,0.027049087,-0.007074653,-0.008511665,0.01295122,0.02511206,0.037190285,0.035352096,0.0043143365,-0.0099515235,-0.018220294,0.019017315,-0.0058400724,-0.021722587,0.004960212,0.014779049
kirkpatrickwvc,0.04050876,-0.0036964293,0.012094665,0.008433364,-0.010577162,-0.045780227,0.020523299,-0.010941455,-0.023637334,0.0011024213,0.037195776,-0.04208349,-0.019511858,-0.023469968,-0.013902,0.017468106,0.01466885,-0.020023499,-0.0016544791,0.035253044,0.016698262,0.012266199,0.029371584,-0.014275731,-0.0077792737,0.041211102,-0.012133245,0.009511374,0.007255917,-0.0013382661,0.00655473,0.019039975,-0.026123548,-0.036282793,-0.008907852,-0.025422588,0.0069873584,-0.019990476,0.006824504,0.016730016,-0.0018093841,0.0050308546,-0.020678913,-0.009556497,0.018017927,-0.0010151411,0.015729878,-0.009026938,0.019320657,0.045714132,-0.0048741745,-0.0014499711,0.018409101,0.018106358,0.03475318,0.0065176366,0.0014901981,-0.016831547,-0.00029381493,0.024849102,0.005412927,-0.02776318,-0.002756426,0.0005026045
dailyhivevan,0.023533966,0.002114991,0.023926467,-0.009680459,0.009148781,-0.02989808,0.011098089,0.018156786,-0.029679187,0.012729123,0.012353219,-0.039627597,-0.018905558,-0.023520054,-0.0009867921,0.011348789,0.014615357,0.0038039589,-0.0044317762,0.021211747,0.012114023,0.02300032,0.010910098,-0.017621016,-0.011301824,0.012254318,-0.024296796,0.004287316,-0.012000934,0.012751934,-0.01434458,0.0070278896,-0.023576435,-0.03034887,-0.016540999,-0.024165979,-0.0010200139,-0.016413728,0.0039977543,-0.0017629964,0.014258356,-0.002476583,-0.01659945,-0.00424865,-0.0061325678,-0.012933813,0.004690634,-0.024869515,-0.008601223,0.014613539,0.012443256,0.015591329,0.019384205,0.03251377,0.027606579,0.010703546,0.023468046,-0.0025597445,-0.0064559835,0.032394283,-0.010717245,-0.021033492,0.015578402,0.0011232545
shirleybond,0.041322593,-0.0312572,0.006624824,-0.0012119538,0.0019011243,-0.035312157,0.0028532613,0.01789327,-0.0049211658,-0.01405584,0.040956274,-0.014142912,-0.028430404,-0.019806797,0.004176422,0.03171908,-0.0005749481,-0.024113836,0.009102241,-0.00051597547,0.007831615,0.019549387,0.027843839,-0.028434763,0.006001331,0.024263253,-0.023024498,0.015850494,0.0041791834,0.015871035,-0.012064812,-0.0052403966,-1.74034e-05,-0.035501942,-0.00034943272,-0.015965281,-0.013060148,-0.015547355,0.020406792,0.0079722935,-0.006119062,-0.015569651,-0.011723868,-0.028140364,0.025641374,-0.024523444,0.012088049,-0.014593267,0.008145028,0.046018854,-0.009222098,-0.012471282,0.016086403,0.047237467,0.04214633,0.0071722884,0.014025064,-0.0056473142,-0.025044426,0.03268082,-0.004015939,-0.020477816,0.009315317,0.012414937
accessiblegc,0.043168202,-0.024934668,0.028442286,0.015763115,0.016739191,-0.025210235,0.03591607,-0.011522766,-0.04109547,-0.013657185,0.012174111,-0.046927318,-0.032765005,-0.021399723,-0.00078574714,0.0120818205,-0.008611632,-0.0019420933,4.129148e-05,0.029655758,0.037386138,0.040003207,0.01754924,-0.0088794,-0.0155989425,0.030924225,-0.023242712,0.027497942,-0.004665291,0.007506362,-0.025971342,0.009132718,-0.0016522848,-0.03697418,-0.013898657,-0.03140931,-0.019341104,0.013841766,-0.00088149554,0.023583151,-0.023233877,-0.0061658695,-0.018223837,-0.0027701186,0.021866389,0.00091387413,0.015831003,-0.013713519,-0.011838458,0.04980098,-0.012681104,0.015518438,0.02748626,0.036541425,0.011042068,0.018108938,0.022691546,-0.029652435,-0.013295386,0.0036593005,0.025203262,-0.033620737,0.016638644,-0.0074175363
autismcanada,0.053273384,-0.02737661,0.038721327,0.020370543,-0.0043277717,-0.0468712,0.027447343,-0.0034689498,-0.011056153,-0.020452261,0.015375223,-0.0317287,-0.0063324342,-0.032756574,-0.0010132551,0.04228213,-0.004836673,-0.023428485,-0.010584793,0.01289808,0.0330777,0.04934042,0.03651869,-0.022455001,0.0012882567,0.05101232,-0.01946884,0.021175252,0.012769462,-0.017569957,-0.020680962,0.0021409271,-0.0077189687,-0.037429746,-0.032636892,0.0025298025,0.014620325,-0.010651919,0.027790936,0.015723424,-0.016133264,0.00090503553,-0.0074423263,-0.027605133,0.018286122,-0.0024849419,0.0106265675,-0.032292932,0.0075027277,0.02791799,0.014641565,0.012952844,0.014006646,0.050994653,0.020835383,0.024743328,0.02915759,-0.025346955,-0.029884027,0.01217115,0.0006164876,-0.035846192,0.0052572405,0.028137611
allianceautism,0.045106478,-0.020697806,0.036615346,0.008771234,-0.007513806,-0.021360178,0.022963077,-0.0004525673,-0.036621157,-0.005598105,0.015163435,-0.026116665,-0.0340832,-0.031545382,0.0012495274,0.019128088,0.019059988,-0.017621016,0.00035585355,0.02162318,0.03234802,0.028017376,0.04041411,-0.011907332,-0.01819235,0.0240407,-0.04949501,-0.0043313927,-0.0004306923,-0.01641122,0.005369416,0.018436627,-0.020624848,-0.042905033,-0.02886508,-0.032730527,0.015321249,-0.009165552,0.020970674,0.0070761335,0.011873831,0.006886927,-0.0034234577,-0.025081076,0.0150294565,-0.01604808,0.01291751,-0.0062839887,0.008885499,0.037005175,0.0035660004,-0.014720814,0.035319887,0.04249325,0.013775634,0.03824592,0.006555011,8.1716054e-05,-0.01824212,0.0347828,0.012538588,-0.037326355,-0.0066627893,0.024068857
